Property ID,Zip code,City,Type of Property,Subtype of Property,Price (€),Construction year,Bedrooms,Living area (m²),Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface (m²),Garden,Garden surface (m²),Surface of the plot (m²),Number of frontages,Swimming pool,Building condition,Elevator,Basement,Primary energy consumption (kWh/m²),CO₂ emission (kg CO₂/m²),Energy class,Heating type,Kitchen type scale,Building condition scale,Region,Price per m²
10575015,3920,lommel,apartment,apartment,310000,2010.0,3.0,177.0,Installed,0,0.0,1.0,45.0,0.0,0.0,,2.0,0,Good,0,0,131.0,,B,Gas,2.0,4.0,Flemish,1751.412429378531
10575012,3870,heers,house,house,315000,1957.0,3.0,174.0,Installed,0,0.0,1.0,0.0,0.0,0.0,470.0,4.0,0,Good,0,0,230.0,,C,Fuel oil,2.0,4.0,Flemish,1810.344827586207
10575009,3870,heers,apartment,apartment,295000,2012.0,3.0,110.0,Installed,0,0.0,1.0,22.0,0.0,0.0,,,0,Good,1,1,88.0,,A,Gas,2.0,4.0,Flemish,2681.818181818182
10575003,9000,gent,house,house,499000,,4.0,160.0,Installed,0,0.0,0.0,0.0,0.0,0.0,,2.0,0,,0,0,236.0,,C,Gas,2.0,,Flemish,3118.75
10575001,4460,grace-hollogne,house,house,190000,,4.0,129.0,Installed,0,0.0,1.0,10.0,1.0,346.0,529.0,3.0,0,Good,0,0,392.0,,E,Fuel oil,2.0,4.0,Walloon,1472.8682170542636
10574996,9600,ronse,house,other property,1895000,1928.0,8.0,550.0,Installed,0,1.0,1.0,0.0,0.0,0.0,5432.0,4.0,0,Good,0,0,350.0,,D,,2.0,4.0,Flemish,3445.4545454545455
10574988,8370,blankenberge,apartment,apartment,245000,,2.0,86.0,Installed,0,0.0,1.0,6.0,0.0,0.0,,,0,Good,0,0,141.79,,B,Gas,2.0,4.0,Flemish,2848.8372093023254
10574987,9620,zottegem,house,house,475000,,3.0,190.0,Hyper equipped,0,0.0,1.0,0.0,1.0,0.0,503.0,,0,Good,0,1,115.0,,B,Gas,3.0,4.0,Flemish,2500.0
10574986,2600,berchem,apartment,apartment,382000,1955.0,2.0,140.0,Hyper equipped,0,0.0,1.0,4.0,0.0,0.0,,2.0,0,Just renovated,1,1,187.0,,B,Fuel oil,3.0,5.0,Flemish,2728.5714285714284
10574985,2600,berchem,apartment,apartment,249000,1967.0,2.0,80.0,Installed,0,0.0,1.0,8.0,0.0,0.0,,2.0,0,Good,1,1,152.0,,B,Gas,2.0,4.0,Flemish,3112.5
10574983,2100,deurne,apartment,ground floor,295000,,2.0,90.0,Installed,0,0.0,0.0,0.0,0.0,0.0,,3.0,0,Good,0,0,334.0,,D,Gas,2.0,4.0,Flemish,3277.777777777778
10574982,9250,waasmunster,house,villa,1050000,2002.0,6.0,474.0,Installed,0,1.0,1.0,150.0,1.0,1800.0,1924.0,4.0,0,Good,0,0,151.0,,B,Gas,2.0,4.0,Flemish,2215.1898734177216
10574980,1150,sint-pieters-woluwe,house,house,1295000,1974.0,5.0,275.0,Semi equipped,0,0.0,1.0,25.0,0.0,0.0,552.0,4.0,0,As new,0,1,260.0,,E,Gas,1.0,6.0,Brussels capital region,4709.090909090909
10574979,5640,saint-gÉrard,house,house,270000,,3.0,165.0,,0,0.0,0.0,0.0,0.0,0.0,355.0,2.0,0,,0,0,274.0,,D,,,,Walloon,1636.3636363636363
10574978,2020,antwerp,house,house,236000,,3.0,135.0,,0,0.0,0.0,0.0,1.0,58.0,,2.0,0,To be done up,0,1,378.0,,D,Gas,,3.0,Flemish,1748.148148148148
10574976,2100,deurne,apartment,apartment,274000,1962.0,2.0,78.0,Installed,0,0.0,1.0,4.0,1.0,34.0,,2.0,0,Just renovated,0,1,183.0,,B,Gas,2.0,5.0,Flemish,3512.8205128205127
10574975,2100,deurne,apartment,apartment,285000,1930.0,1.0,103.0,Installed,0,0.0,1.0,6.0,0.0,0.0,,2.0,0,Just renovated,0,1,171.0,,B,Gas,2.0,5.0,Flemish,2766.990291262136
10574974,2140,borgerhout,apartment,apartment,274000,1962.0,2.0,78.0,Installed,0,0.0,1.0,4.0,1.0,34.0,,2.0,0,Just renovated,0,1,183.0,,B,Gas,2.0,5.0,Flemish,3512.8205128205127
10574973,1000,brussels city,apartment,apartment,397000,,2.0,105.0,Semi equipped,0,0.0,0.0,0.0,0.0,0.0,,,0,Good,1,0,218.0,,E,Gas,1.0,4.0,Brussels capital region,3780.9523809523807
10574972,2060,antwerp,house,house,239000,1941.0,5.0,150.0,Installed,0,0.0,1.0,5.0,0.0,0.0,56.0,2.0,0,To be done up,0,0,310.0,,D,Gas,2.0,3.0,Flemish,1593.3333333333333
